"","V1","V2"
"SS2_16_769:H11_unique.bam",6.51934909820557,0.486185610294342
"SS2_16_769:H17_unique.bam",4.92328214645386,1.3781750202179
"SS2_16_769:H20_unique.bam",5.21131944656372,1.45419239997864
"SS2_16_769:H19_unique.bam",9.87499809265137,4.4239354133606
"SS2_16_769:H22_unique.bam",7.34109544754028,0.901859819889069
"SS2_16_769:I13_unique.bam",7.61189222335815,1.06678295135498
"SS2_16_769:I21_unique.bam",10.2580738067627,4.85581207275391
"SS2_16_769:I23_unique.bam",9.05444049835205,2.0271418094635
"SS2_16_769:I24_unique.bam",1.58600509166718,1.07424747943878
"SS2_16_769:J1_unique.bam",10.0457220077515,3.33772730827332
"SS2_16_769:J16_unique.bam",9.90181255340576,4.04866218566895
"SS2_16_769:J22_unique.bam",10.1711483001709,4.54437875747681
"SS2_16_769:J23_unique.bam",7.63443183898926,0.424596905708313
"SS2_16_769:K10_unique.bam",11.1158218383789,6.60680198669434
"SS2_16_769:K11_unique.bam",-6.15319013595581,0.431607782840729
"SS2_16_769:K18_unique.bam",9.91686153411865,5.77575159072876
"SS2_16_769:L2_unique.bam",8.33157253265381,1.92645859718323
"SS2_16_769:L8_unique.bam",8.13290405273438,1.24845099449158
"SS2_16_769:L5_unique.bam",6.3713698387146,0.679796814918518
"SS2_16_769:L10_unique.bam",11.1407775878906,7.56737041473389
"SS2_16_769:L11_unique.bam",5.91332292556763,1.00470924377441
"SS2_16_769:L16_unique.bam",10.7128849029541,2.89926052093506
"SS2_16_769:M17_unique.bam",8.86419486999512,2.09408187866211
"SS2_16_769:M19_unique.bam",9.05031871795654,2.35959386825562
"SS2_16_769:M21_unique.bam",7.84362268447876,2.14430165290833
"SS2_16_769:M23_unique.bam",9.10458469390869,3.32489085197449
"SS2_16_769:N4_unique.bam",10.466362953186,5.93258762359619
"SS2_16_769:N5_unique.bam",9.88865089416504,5.19205093383789
"SS2_16_769:N11_unique.bam",11.1025733947754,6.8973650932312
"SS2_16_769:N13_unique.bam",9.70901298522949,3.59030532836914
"SS2_16_769:N16_unique.bam",7.92569255828857,0.782013952732086
"SS2_16_769:O2_unique.bam",10.0967769622803,7.71442747116089
"SS2_16_769:O6_unique.bam",5.44473552703857,1.49843275547028
"SS2_16_769:O7_unique.bam",-1.61149370670319,-0.882225275039673
"SS2_16_769:O12_unique.bam",9.6000394821167,4.02395105361938
"SS2_16_769:O14_unique.bam",10.1854209899902,7.48975944519043
"SS2_16_769:O18_unique.bam",10.4313383102417,3.21146631240845
"SS2_16_769:O21_unique.bam",9.65807342529297,4.73403263092041
"SS2_16_769:P1_unique.bam",10.1669502258301,6.11633968353271
"SS2_16_769:P8_unique.bam",9.49139785766602,0.569219589233398
"SS2_16_769:P10_unique.bam",10.0492906570435,2.21984958648682
"SS2_16_769:P11_unique.bam",8.92036247253418,2.60622262954712
"SS2_16_769:P13_unique.bam",8.0982141494751,1.36928570270538
"SS2_16_769:P16_unique.bam",10.0527200698853,3.80568194389343
"SS2_16_769:P21_unique.bam",11.0577917098999,8.0026741027832
"SS2_17_432:A8_unique.bam",10.4422168731689,2.00872850418091
"SS2_17_432:A6_unique.bam",8.88746070861816,0.159565523266792
"SS2_17_432:A21_unique.bam",11.8632307052612,8.12414455413818
"SS2_17_432:A10_unique.bam",11.5122346878052,7.07904148101807
"SS2_17_432:A24_unique.bam",7.96179914474487,2.05532336235046
"SS2_17_432:B2_unique.bam",5.80993270874023,0.808794140815735
"SS2_17_432:A3_unique.bam",6.31066656112671,3.81378364562988
"SS2_17_432:A17_unique.bam",9.90520477294922,2.62990975379944
"SS2_17_432:B4_unique.bam",11.346097946167,8.49639987945557
"SS2_17_432:B6_unique.bam",10.5572738647461,3.60241293907166
"SS2_17_432:B1_unique.bam",5.00879669189453,1.05407524108887
"SS2_17_432:B3_unique.bam",10.5446224212646,2.67875528335571
"SS2_17_432:A4_unique.bam",10.4402685165405,3.30022764205933
"SS2_17_432:A15_unique.bam",6.50547027587891,3.86750626564026
"SS2_17_432:A1_unique.bam",7.1571044921875,0.946087598800659
"SS2_17_432:A5_unique.bam",9.74626159667969,1.31485974788666
"SS2_17_432:B11_unique.bam",11.8086442947388,4.89494705200195
"SS2_17_432:B10_unique.bam",9.01164436340332,1.37609922885895
"SS2_17_432:B14_unique.bam",5.36739540100098,0.336568087339401
"SS2_17_432:B12_unique.bam",12.073769569397,6.6593804359436
"SS2_17_432:B22_unique.bam",11.0424203872681,8.25693988800049
"SS2_17_432:B18_unique.bam",4.49742650985718,0.92060911655426
"SS2_17_432:B23_unique.bam",5.8332633972168,1.36664354801178
"SS2_17_432:C4_unique.bam",11.5176944732666,4.73226261138916
"SS2_17_432:C8_unique.bam",11.1855707168579,4.37155342102051
"SS2_17_432:B16_unique.bam",9.41189670562744,0.336745411157608
"SS2_17_432:C1_unique.bam",8.58566474914551,2.18443703651428
"SS2_17_432:C10_unique.bam",11.7234230041504,8.09969711303711
"SS2_17_432:C3_unique.bam",11.3707876205444,8.14970684051514
"SS2_17_432:B13_unique.bam",2.94514226913452,1.17089688777924
"SS2_17_432:C12_unique.bam",4.81000423431396,0.640169203281403
"SS2_17_432:C13_unique.bam",10.0620889663696,1.49006295204163
"SS2_17_432:C14_unique.bam",11.3331804275513,5.19858551025391
"SS2_17_432:C16_unique.bam",10.2051753997803,0.970880508422852
"SS2_17_432:C19_unique.bam",9.44449996948242,1.45302748680115
"SS2_17_432:C17_unique.bam",7.1058497428894,0.373333960771561
"SS2_17_432:D6_unique.bam",11.2225179672241,4.46628999710083
"SS2_17_432:C18_unique.bam",11.436710357666,4.24726486206055
"SS2_17_432:D3_unique.bam",8.22304916381836,0.620721042156219
"SS2_17_432:C15_unique.bam",8.828049659729,0.597176611423492
"SS2_17_432:D9_unique.bam",6.22714614868164,-0.204259634017944
"SS2_17_432:D16_unique.bam",8.04436016082764,0.291682541370392
"SS2_17_432:D12_unique.bam",6.35727167129517,-0.289133578538895
"SS2_17_432:D4_unique.bam",11.400824546814,4.38136959075928
"SS2_17_432:D8_unique.bam",10.6432085037231,3.38772368431091
"SS2_17_432:D2_unique.bam",11.7840843200684,7.43108081817627
"SS2_17_432:D17_unique.bam",1.71470141410828,1.12782418727875
"SS2_17_432:D18_unique.bam",5.27737617492676,0.216270849108696
"SS2_17_432:D14_unique.bam",8.34994220733643,0.0443535782396793
"SS2_17_432:D7_unique.bam",11.386926651001,7.95837736129761
"SS2_17_432:D5_unique.bam",7.72175359725952,0.296442955732346
"SS2_17_432:C23_unique.bam",5.74711227416992,0.374363422393799
"SS2_17_432:D1_unique.bam",5.42608642578125,0.481912434101105
"SS2_17_432:D13_unique.bam",11.4390249252319,8.34782695770264
"SS2_17_432:D23_unique.bam",5.49401664733887,0.213127911090851
"SS2_17_432:D21_unique.bam",9.52957153320312,1.53159844875336
"SS2_17_432:E10_unique.bam",9.00667667388916,1.24432802200317
"SS2_17_432:D22_unique.bam",9.83459377288818,0.574570536613464
"SS2_17_432:E9_unique.bam",11.720908164978,7.09011173248291
"SS2_17_432:E4_unique.bam",7.65334367752075,-0.0234983861446381
"SS2_17_432:E11_unique.bam",10.1461544036865,1.56181836128235
"SS2_17_432:E19_unique.bam",6.99147319793701,-0.243976712226868
"SS2_17_432:E8_unique.bam",0.52813595533371,0.549856543540955
"SS2_17_432:E7_unique.bam",11.4489240646362,7.53617334365845
"SS2_17_432:E1_unique.bam",11.7297172546387,8.31238460540771
"SS2_17_432:E6_unique.bam",8.37500858306885,0.917367815971375
"SS2_17_432:E5_unique.bam",9.60843372344971,0.460563033819199
"SS2_17_432:E16_unique.bam",11.409873008728,6.03862285614014
